date,dy,dy_pot,y_gap,pi,pi_LR,MY,rf
1962-03-31,0.031687780730768125,0.015822461783053066,-0.0008801099432238502,0.005585858121613872,0.016827,1.0132020263058061,0.027200000000000002
1962-06-30,0.028287618793480917,0.016584822755967822,-0.0015025862079887098,0.005567954238942266,0.016827,1.0074169693685409,0.0273
1962-09-30,0.025334022863605223,0.01747043027786388,-0.0009563863905972525,0.00555016476276295,0.016827,1.0007748655557558,0.0278
1962-12-31,0.018325307631989918,0.018358142658366144,-0.004369706601857093,0.005532488599961102,0.016827,0.9938242246172092,0.0287
1963-03-31,0.015364407710488609,0.018931152338981492,-0.004446854571716674,0.0055149246713029855,0.016827,0.9870781444994788,0.028900000000000002
1963-09-30,0.020438758422947154,0.018965561558725974,0.000516810473623952,0.0054801292675805986,0.016827,0.9756068125006819,0.0338
1963-12-31,0.02184979213043566,0.018758021485459266,-0.0012779359568808601,0.006817949786468296,0.016827,0.970819043881105,0.0352
1964-03-31,0.026195419739068904,0.018576548788496627,0.00317201637885578,0.0067966094780794635,0.016827,0.9664209947454931,0.0354
1964-12-31,0.021841544504545136,0.01886079486241007,0.0017028136852546005,0.005378328574002301,0.016827,0.9523032054095578,0.0384
1965-03-31,0.023163121628048997,0.019063463634877133,0.007271674372027359,0.005361728372108108,0.016827,0.9489707852211681,0.0393
1965-06-30,0.023911736306065485,0.018984371086613536,0.008079569264249908,0.0053452303291832435,0.016827,0.9465296205044643,0.038
1965-09-30,0.02672722299260439,0.01893774782188135,0.012903870756816538,0.006671321380576171,0.016827,0.943597959806155,0.0392
1965-12-31,0.0352786921539833,0.01886418525197262,0.01811732058726534,0.006630578899013076,0.016827,0.9391653674762359,0.0438
1966-03-31,0.03533774406263952,0.018717010795581468,0.023892407639085622,0.006610393707779698,0.016827,0.9323788854003238,0.045899999999999996
1966-06-30,0.031365396371797395,0.018706901635908258,0.02073806400013911,0.010497054376559135,0.016827,0.9214225929366328,0.045
1966-09-30,0.02547835461825056,0.01864189647491041,0.019740328900156534,0.013042856565975664,0.016827,0.9085596946644355,0.0537
1967-03-31,0.012521167797214655,0.018667330692839927,0.017746244743460426,0.01546612626705172,0.016827,0.8820165810929453,0.0426
1967-06-30,0.011307070984393305,0.018878441722129602,0.01316669326240305,0.014031291755931373,0.016827,0.8711021024008376,0.0354
1967-12-31,0.011447484166938898,0.01948166386672148,0.010625484341985736,0.016248883033290088,0.016827,0.8538979483170379,0.049699999999999994
1968-06-30,0.02331287066798806,0.019655153350208718,0.016824410580182025,0.019632471740389085,0.016827,0.8383251705689159,0.0552
1968-09-30,0.022574160982863172,0.019560762557513635,0.015360010964078352,0.02059801990181376,0.025154,0.8299107148304219,0.0519
1968-12-31,0.02101495132179552,0.01936869725776913,0.01227173840601159,0.02153967785610972,0.025154,0.8214451572978576,0.0596
1969-03-31,0.018989242315081586,0.01901190001859993,0.014◊428654421559273,0.023608773193350995,0.025154,0.8130261561978748,0.0602
1969-06-30,0.01311028064514023,0.018558605899244063,0.011376085326078034,0.02449020343545695,0.026198000000000003,0.804694101687057,0.0644
1969-09-30,0.012616269106954228,0.01786149006671309,0.01011479000431903,0.025283537073618308,0.02678700000000001,0.7965330122538058,0.0709
1969-12-31,0.008788356549504318,0.016982073717860743,0.004078021237655438,0.024953281943676592,0.02678700000000001,0.7884941894585034,0.0782
1970-03-31,0.0013996078133577325,0.016111550978619885,-0.0002832887437032028,0.025652572782957,0.02678700000000001,0.780444914573993,0.0663
1970-06-30,0.0006991921468225447,0.01525372909014093,-0.0031784516172401744,0.02746138912125721,0.02678700000000001,0.771859921736349,0.0668
1970-12-31,-0.0007274114167270172,0.013995497085029937,-0.0106448872641014,0.027753068572326376,0.030976,0.7542668627653799,0.0487
1971-03-31,0.011558428505590749,0.013756592551670367,-0.0024814527897825123,0.022168078341491537,0.030976,0.7453352656941092,0.0338
1971-06-30,0.013285797618580448,0.013915247268135313,-0.0038079012667950884,0.0207836059232921,0.030976,0.7359114947348907,0.0475
1971-09-30,0.012859474116190988,0.01426696519283599,-0.00400589680924579,0.0175184039231855,0.030976,0.7268316387490894,0.046900000000000004
1971-12-31,0.0185571794273697,0.014632664958532783,-0.006720372795264495,0.013238605955464933,0.034937,0.7183868350965235,0.0401
1972-03-31,0.01482496766804525,0.014771948041384663,-0.0024284331631219125,0.01417403830691217,0.034937,0.710726889406499,0.0373
1972-06-30,0.022227789304952655,0.014520657924133032,0.003899230114024821,0.012008907473015449,0.034937,0.7037565185849695,0.0391
1972-09-30,0.02275145201727092,0.014061105588784262,0.004684449619241082,0.012935270643483019,0.034937,0.6973659229662067,0.0466
1972-12-31,0.02894441514345758,0.013594049061800433,0.00862999328639269,0.01284696235877648,0.039173,0.6912363008245964,0.0507
1973-12-31,0.017133780254994093,0.01435649508447052,0.011407278456916359,0.019982021853970303,0.039173,0.6621195339364729,0.0745
1974-03-31,0.0027663059037576956,0.014787556942459661,0.0038767913718706914,0.024394438945149442,0.04211033333333333,0.6542967981905705,0.0796
1974-06-30,-0.0009054121898599997,0.01497019553271863,0.0011456948593786542,0.03314022717140973,0.04889733333333333,0.6466800100453944,0.079
1974-09-30,-0.0027405138080173826,0.01496888769288422,-0.006647375152595281,0.042250127651761886,0.050721999999999996,0.6392005559450707,0.0806
1974-12-31,-0.008533637299779845,0.01480744268452555,-0.01193380152738932,0.046686463068686984,0.050721999999999996,0.6317905767551603,0.07150000000000001
